Table 1
Base Interval,,,,6,k miles,,,,,,,,,,,,,,,,,,,,,,,
Item,Note,,,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150
Accessory Drive Belt,-,I,30,,,,,I,,,,,I,,,,,I,,,,,I,,,,,I
Engine Oil And Filter,"under severe driving replace oil and filter every 3,000 miles or 3 months whichever comes first",R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Engine Coolant,"Subaru Super Coolant. 1st replacement interval is 11years/137,500 miles (220,000 km). 2nd replacement interval is 6 years/ 75,000 miles (120,000 km) after the 1st. If towing replace more often. Use Subaru coolant only, do not mix with other types or it will reduce protection. Always add Subaru cooling system conditioner whenever coolant is replaced.",R,138,,,,,,,,,,,,,,,,,,,,,,,R,,
"Cooling System - inspect hoses, radiator","Subaru Super Coolant. 1st replacement interval is 11years/137,500 miles (220,000 km). 2nd replacement interval is 6 years/ 75,000 miles (120,000 km) after the 1st. If towing replace more often. Use Subaru coolant only, do not mix with other types or it will reduce protection. Always add Subaru cooling system conditioner whenever coolant is replaced.",I,30,,,,,I,,,,,I,,,,,I,,,,,I,,,,,I
"Fuel System - inspect fuel system lines, connections","under severe driving, brake and steering system inspection should be performed every 6000 miles or 6 months whichever comes first",I,30,,,,,I,,,,,I,,,,,I,,,,,I,,,,,I
Fuel Filter - replace fuel filter,under extremely cold or hot weather replace the filter more often ,R,72,,,,,,,,,,,,R,,,,,,,,,,,,R,
Engine air filter,"when used in dusty conditions, the air filter should be replaced more often",R,30,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R
Spark Plugs,-,R,60,,,,,,,,,,R,,,,,,,,,,R,,,,,
Differential fluid - front and rear gear oil,"under severe driving replace every 15,000 miles or 15 months whichever comes first",,,,,,,,,,,,,,,,,,,,,,,,,,,
Rear differential fluid,"under severe driving replace every 15,000 miles or 15 months whichever comes first",I,12,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,
Brake fluid,"when used in high humidity or mountainous areas replace the brake fluid and clutch fluid every 15,000 miles or 15 months whichever comes first",R,30,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R
Clutch fluid,"when used in high humidity or mountainous areas replace the brake fluid and clutch fluid every 15,000 miles or 15 months whichever comes first",R,30,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R
"Brake - pads, linings, front/rear axle boots, CV joints, axle half shaft, parking brake","under severe driving, brake and steering system inspection should be performed every 6000 miles or 6 months whichever comes first",I,12,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,
Clutch operation,,I,12,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,
Steering and suspension,"under severe driving, brake and steering system inspection should be performed every 6000 miles or 6 months whichever comes first",I,12,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,
Bearings - front and rear wheel bearing lubricant,,I,60,,,,,,,,,,I,,,,,,,,,,I,,,,,
Tires - rotate tires,"a tire should be replaced when the tread wear indicator appears as a solid band across the tread or at .063"" tread depth (1.6mm) or less",P,6,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Cabin air filter - HVAC filter is behind the glovebox,"when used in dusty conditions, the air filter should be replaced more often",R,12,,R,,R,,R,,R,,R,,R,,R,,R,,R,,R,,R,,R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessory Drive Belt,,R,10,,,,,,,,,,,,,,,,,,,,,,,,,
