Table 1
Base Interval,,,,3.75,k miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Note,,,3.75,7.5,11.25,15,18.75,22.5,26.25,30,33.75,37.5,41.25,45,48.75,52.5,56.25,60,63.75,67.5,71.25,75,78.75,82.5,86.25,90,93.75,97.5,101.25,105,108.75,112.5,116.25,120,123.75,127.5,131.25,135,138.75,142.5,146.25,150,,,,,,,,,,,,,
Accessory belt,-,I,30,,,,,,,,I,,,,,,,,I,,,,,,,,I,,,,,,,,I,,,,,,,,I,,,,,,,,,,,,,
Camshaft Belt - rubber timing belt,,I,30,,,,,,,,I,,,,,,,,I,,,,,,,,I,,,,,,,,I,,,,,,,,I,,,,,,,,,,,,,
Camshaft Belt - rubber timing belt,,R,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,
Engine Oil And Filter,"under Severe driving replace ever 3,750 miles.  Turbos must have the synthetic oil service done at least every 3,750 miles or 3 3/4 months",R,3.75,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,,,
Engine Coolant,"Subaru Super Coolant. 1st replacement interval is 11years/137,500 miles (220,000 km). 2nd replacement interval is 6 years/ 75,000 miles (120,000 km) after the 1st. If towing replace more often. Use Subaru coolant only, do not mix with other types or it will reduce protection ",R,75,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,
"Inspect fuel system, lines, connections","under severe driving inspect 7,500-15,000 miles",I,15,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,,,,,,,,,,
Replace fuel filter,,R,60,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,
Engine air filter,"under severe driving replace 7,500-15,000 miles",R,15,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,,,,,,,,,,
Spark Plugs,,R,60,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,
Transmission/differential fluid - Front/rear gear oil,"under severe driving replace 30,000 miles",I,15,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,,,,,,,,,,
Brake fluid,"under severe driving replace 7,500-15,000 miles",R,15,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,,,,,,,,,,
"Brake - pads, linings, front/rear axle boots, CV joints, axle half shaft, parking brake","under severe driving replace 7,500-15,000 miles",I,15,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,,,,,,,,,,
Clutch,,I,15,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,,,,,,,,,,
Steering and suspension,"under severe driving replace 7,500-15,000 miles",I,15,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,,,,,,,,,,
Front/rear wheel bearing lubricant,,I,60,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,
Rotate tires,,P,7.5,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,P,,,,,,,,,,,,,
Valve clearance,,I,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,
Cabin air filter -behind the glovebox,replace the paper filter (behind glovebox)  every 1-2 years depending on air conditions,R,15,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,,,,,,,,,,
SRS Airbags,inspect every 10 years ,P,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspect Engine air filter,,I,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Engine air filter,,P,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rear differential fluid,GL5 75W90 LSD,R,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
