Table 1
Base Interval,,,,7.5,k miles,,,,,,,,,,,,,,,,,,,,,,,
Item,Note,,,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5
Accessory belt,-,I,30,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,
Camshaft Belt - rubber timing belt,,I,30,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,
Camshaft Belt - rubber timing belt,,R,105,,,,,,,,,,,,,,R,,,,,,,,,,,
Engine Oil And Filter,"under Severe driving replace ever 3,750 miles.  Turbos must have the synthetic oil service done at least every 3,750 miles or 3 3/4 months",R,7.5,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Engine Coolant,"Subaru Super Coolant. 1st replacement interval is 11years/137,500 miles (220,000 km). 2nd replacement interval is 6 years/ 75,000 miles (120,000 km) after the 1st. If towing replace more often. Use Subaru coolant only, do not mix with other types or it will reduce protection ",R,135,,,,,,,,,,,,,,,,,,R,,,,,,,
"Inspect fuel system, lines, connections","under severe driving inspect 7,500-15,000 miles",I,30,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,
Replace fuel filter,,R,60,,,,,,,,R,,,,,,,,R,,,,,,,,R,
Engine air filter,"under severe driving replace 7,500-15,000 miles",R,30,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,
Spark Plugs,,R,60,,,,,,,,R,,,,,,,,R,,,,,,,,R,
Transmission/differential fluid - Front/rear gear oil,"under severe driving replace 30,000 miles",I,30,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,
Brake fluid,"under severe driving replace 7,500-15,000 miles",R,30,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,
"Brake - pads, linings, front/rear axle boots, CV joints, axle half shaft, parking brake","under severe driving replace 7,500-15,000 miles",I,15,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,
Clutch,,I,15,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,
Steering and suspension,"under severe driving replace 7,500-15,000 miles",I,15,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,
Front/rear wheel bearing lubricant,,I,60,,,,,,,,I,,,,,,,,I,,,,,,,,I,
Rotate tires,,P,7.5,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Valve clearance,,I,105,,,,,,,,,,,,,,I,,,,,,,,,,,
Cabin air filter -behind the glovebox,replace the paper filter (behind glovebox)  every 1-2 years depending on air conditions,R,15,,R,,R,,R,,R,,R,,R,,R,,R,,R,,R,,R,,R,
SRS Airbags,inspect every 10 years ,P,105,,,,,,,,,,,,,,P,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspect Engine air filter,,I,3.75,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Engine air filter,,P,10,,,,,,,,,,,,,,,,,,,,,,,,,
Rear differential fluid,GL5 75W90 LSD,R,10,,,,,,,,,,,,,,,,,,,,,,,,,
