Table 1
Base Interval,,,,3,k miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Note,,,3,6,9,12,15,18,21,24,27,30,33,36,39,42,45,48,51,54,57,60,63,66,69,72,75,78,81,84,87,90,93,96,99,102,105,108,111,114,117,120,123,126,129,132,135,138,141,144,147,150
Accessory Drive Belt,-,I,30,,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,I
Engine Oil And Filter,"under severe driving replace oil and filter every 3,000 miles or 3 months whichever comes first",R,3,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Engine Coolant,"Subaru Super Coolant. 1st replacement interval is 11years/137,500 miles (220,000 km). 2nd replacement interval is 6 years/ 75,000 miles (120,000 km) after the 1st. If towing replace more often. Use Subaru coolant only, do not mix with other types or it will reduce protection. Always add Subaru cooling system conditioner whenever coolant is replaced.",R,75,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R
"Cooling System - inspect hoses, radiator","Subaru Super Coolant. 1st replacement interval is 11years/137,500 miles (220,000 km). 2nd replacement interval is 6 years/ 75,000 miles (120,000 km) after the 1st. If towing replace more often. Use Subaru coolant only, do not mix with other types or it will reduce protection. Always add Subaru cooling system conditioner whenever coolant is replaced.",I,30,,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,I,,,,,,,,,,I
"Fuel System - inspect fuel system lines, connections","under severe driving, brake and steering system inspection should be performed every 6000 miles or 6 months whichever comes first",I,6,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I
Fuel Filter - replace fuel filter,under extremely cold or hot weather replace the filter more often ,R,72,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,
Engine air filter,"when used in dusty conditions, the air filter should be replaced more often",R,30,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,R
Spark Plugs,-,R,60,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,
Differential fluid - front and rear gear oil,"under severe driving replace every 15,000 miles or 15 months whichever comes first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rear differential fluid,"under severe driving replace every 15,000 miles or 15 months whichever comes first",R,15,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R
Brake fluid,"when used in high humidity or mountainous areas replace the brake fluid and clutch fluid every 15,000 miles or 15 months whichever comes first",R,15,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R
Clutch fluid,"when used in high humidity or mountainous areas replace the brake fluid and clutch fluid every 15,000 miles or 15 months whichever comes first",R,15,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R,,,,,R
"Brake - pads, linings, front/rear axle boots, CV joints, axle half shaft, parking brake","under severe driving, brake and steering system inspection should be performed every 6000 miles or 6 months whichever comes first",I,12,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,
Clutch operation,,I,12,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,,,I,,
Steering and suspension,"under severe driving, brake and steering system inspection should be performed every 6000 miles or 6 months whichever comes first",I,6,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I,,I
Bearings - front and rear wheel bearing lubricant,,I,60,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,
Tires - rotate tires,"a tire should be replaced when the tread wear indicator appears as a solid band across the tread or at .063"" tread depth (1.6mm) or less",P,3,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Cabin air filter - HVAC filter is behind the glovebox,"when used in dusty conditions, the air filter should be replaced more often",R,12,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,,,R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessory Drive Belt,,R,10,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,R
