When,Mi,What,Oil,Tire,Wax,Cost,Who
3/23/2012,6,Subaru Impraza WRX Limited Hatchback,,,,"$27,872.00",Shortline Subaru
3/23/2012,6,Interest (1.99%),,,,"$1,619.97",Westerra Credit Union
3/23/2012,6,Tax,,,,"$2,192.12",
3/23/2012,6,Delivery,,,,$499.95,
3/23/2012,6,Wheel & Tire Coverage,,,,$496.00,
4/5/2012,"1,500",Clear Mask Installed,,,,$396.00,Shortline Subaru
4/30/2012,"2,970",Oil Change (Subaru Synthetic 5W30),1,,,$73.00,Shortline Subaru
4/30/2012,"2,970",Tire Puncture Repaired,,,,$0.00,Shortline Subaru
4/30/2012,"2,970",Red Footwell Lighting Installed,,,,$40.47,Mike
4/30/2012,"2,970",Bumper Cover Installed,,,,$43.26,Mike
4/30/2012,"2,970",Exhaust Finishers Installed,,,,$155.86,Mike
4/30/2012,"2,970",Front Cargo Net Installed,,,,$25.94,Mike
5/5/2012,"3,350",Polished Hood,,,,$0.00,Mike
5/5/2012,"3,350",Applied Paint Sealant (Meguiars Ultimate Wax),,,1,$0.00,Mike
5/15/2012,-,2012 Registration,,,,$643.01,Denver DOR
5/16/2012,"4,000",Replaced cracked lens on Left fog lamp,,,,$0.00,Shortline Subaru
5/16/2012,"4,131",Applied Yellow 12mil Laminx Covers to Fog Lamps,,,,$18.15,Mike
5/16/2012,"4,131",Swapped fog lamp bulbs to Philips 9012 HIR2,,,,$43.96,Mike
5/30/2012,"5,110","Tires Rotated (f->r, rxf)",,1,,$0.00,"Discount Tire, Boulder"
6/15/2012,"6,200",Seats Cleaned & Conditioned (Malco),,,,$0.00,Mike
6/22/2012,"7,059",Oil Change (Subaru Synthetic 5W30),1,,,$73.00,Flatirons Subaru
7/4/2012,"8,050",Repaired hood edge chips (Subaru Touch-Up Paint),,,,$9.00,Mike
7/4/2012,"8,050","Polished roof, pillars, under windows",,,,$0.00,Mike
7/4/2012,"8,050",Applied Paint Sealant (Meguiars Ultimate Wax),,,1,$0.00,Mike
7/16/2012,"8,500",Seats Cleaned & Conditioned (Malco),,,,$0.00,Mike
7/25/2012,"9,050",Replaced 3x body clips in right front fender liner,,,,$7.00,Mike
7/31/2012,"9,333",Tire Puncture Repaired,,,,$0.00,"Discount Tire, Boulder"
8/1/2012,"9,450",Coolant Level Topped Off (Subaru Super Blue),,,,$0.00,Flatirons Subaru
8/1/2012,"9,480",Seats Cleaned & Conditioned (Malco),,,,$0.00,Mike
8/1/2012,"9,480",Interior Cleaned,,,,$0.00,Mike
8/9/2012,"9,950",Repaired hood edge chips (Subaru Touch-Up Paint),,,,$0.00,Mike
8/10/2012,"9,990",Seats Conditioned (Malco),,,,$0.00,Mike
8/10/2012,"9,990","Tires Rotated (f->r, rxf), Pressures adjusted",,1,,$0.00,Mike
8/10/2012,"9,990","Fluids checked... Oil dark, coolant approaching low",,,,$0.00,Mike
8/24/2012,"10,944",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$40.00,Mike
8/24/2012,"10,944",Sealed Exterior Trim (Wolfgang Exterior Trim Sealant),,,1,$0.00,Mike
9/30/2012,"12,760","Washed, Polished doors & rear fenders",,,,$0.00,Mike
9/30/2012,"12,760",Applied Paint Sealant (Meguiars Ultimate Wax),,,1,$0.00,Mike
9/30/2012,"12,760","Debadged ""SUBARU & IMPREZA""",,,,$0.00,Mike
10/1/2012,"12,820",Cleaned & conditioned Seats (Wolfgang),,,,$0.00,Mike
10/3/2012,"12,860",Swapped fog lamp bulbs to Nokya Hyper Yellow,,,,$22.48,Mike
10/16/2012,"13,360",Swapped fog lamp covers to Lamin-X Clear 40mil,,,,$0.00,Mike
10/27/2012,"14,080",Re-aimed fog lamps (3 turns up from bottom),,,,$0.00,Mike
10/27/2012,"14,100","Disabled stock DRL, substituted with Fog lamps",,,,$5.00,Mike
10/31/2012,"14,300",Swapped high beam bulbs to Philips 9011 HIR1,,,,$36.14,Mike
11/4/2012,"14,500",Cleaned & conditioned Seats (Wolfgang),,,,$0.00,Mike
11/10/2012,"14,911",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$40.00,Mike
11/10/2012,"14,911","Tires Rotated (f->r, rxf), Pressures adjusted",,1,,$0.00,Mike
12/6/2012,"16,487",Installed Cobb AccessPort V2,,,,$535.00,Mike
12/6/2012,"16,487",Coolant Level Topped Off (Subaru Super Blue),,,,$0.00,Flatirons Subaru
12/6/2012,"16,487",Replaced Engine Air Filter (Subaru OEM),,,,$26.60,Flatirons Subaru
12/6/2012,"16,487",Multipoint Inspection,,,,$0.00,Flatirons Subaru
12/11/2012,"16,628",Purchased Continental ExtremeWinterContact 205/60x16 Tires,,,,$475.00,
12/11/2012,"16,628","Purchased 2002 WRX OEM 16"" Wheels",,,,$250.00,
12/11/2012,"16,628","Mounted EWC tires to WRX 16"" Wheels",,,,$94.45,"Discount Tire, Arvada"
12/11/2012,"16,628",Mounted Winter Wheels 1234,,1,,$0.00,Mike
12/14/2012,"16,800",Mounted Summer Wheels 1234,,,,$0.00,Mike
12/14/2012,"16,800","Replaced rear driver's side window due to scratches, cleaned mechanism.",,,,$0.00,Flatirons Subaru
12/14/2012,"16,800",Replaced clips for back seat latch trim,,,,$0.00,Flatirons Subaru
12/18/2012,"17,000",Mounted Winter Wheels 1234,,,,$0.00,Mike
12/27/2012,"17,400",Swapped fog lamp bulbs to Optilux Xenon Yellow,,,,$15.04,Mike
12/27/2012,"17,400",Sealed Exterior Trim (Wolfgang Exterior Trim Sealant),,,1,$0.00,Mike
12/27/2012,"17,400",Washed and waxed (Meguiars Deep Crystal Carnuba),,,1,$0.00,Mike
12/30/2012,"17,550",Cleaned and conditioned drivers leather (Wolfgang),,,,$0.00,Mike
1/5/2013,"17,750",Installed RallyArmor UR mud flaps black w/ silver,,,,$158.94,Mike
1/5/2013,"17,750",Washed and waxed (Meguiars Spray Wax),,,1,$0.00,Mike
1/6/2013,"17,795",Mounted Summer Wheels 1234,,,,$0.00,Mike
1/10/2013,"18,000",Mounted Winter Wheels 1234,,,,$0.00,Mike
1/13/2013,"18,250",Mounted Summer Wheels 1234,,,,$0.00,Mike
1/18/2013,"18,400",Plasti-dipped Winter Wheels White-Blaze Yellow-Glossifier,,,,$87.00,Mike
1/20/2013,"18,450",Mounted Winter Wheels 1234,,,,$0.00,Mike
1/27/2013,"18,920",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$40.00,Mike
1/27/2013,"18,920",Installed Magnetic Oil Drain Plug (Greddy alloy neodymium),,,,$0.00,Mike
1/29/2013,"19,050",Mounted Summer Wheels 1234,,,,$0.00,Mike
2/2/2013,"19,200",Washed and Sealed (Meguiars Ultimate Wax),,,,$0.00,Mike
2/2/2013,"19,200","Cleaned Interior, Conditioned & Cleaned Seats (Wolfgang)",,,,$0.00,Mike
2/9/2013,"19,500",Mounted Winter Wheels 1234,,,,$0.00,Mike
2/23/2013,"20,400",Rotated to Summer Wheels 4312,,1,,$0.00,Mike
3/9/2013,"20,800",Mounted Winter Wheels 1234,,,,$0.00,Mike
3/10/2013,"20,850",Mounted Summer Wheels 4312,,,,$0.00,Mike
3/23/2013,"21,500",Mounted Winter Wheels 1234,,,,$0.00,Mike
3/25/2013,"21,650",Mounted Summer Wheels 4312,,,,$0.00,Mike
4/1/2013,"22,000",Mounted Winter Wheels 1234,,,,$0.00,Mike
4/4/2013,"22,200","Cleaned Interior, Seats: (Wolfgang Clean / Maalco Cond)",,,,$0.00,Mike
4/13/2013,"23,200",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$40.00,Mike
4/19/2013,"23,500",Mounted Summer Wheels 4312,,,,$0.00,Mike
5/8/2013,-,2013 Registration,,,,$426.89,Denver DOR
6/15/2013,"25,002","Washed, Polished all, Waxed (Meguiars Ultimate Polish, Meguiars Crystal Carnuba)",,,1,$0.00,Mike
6/15/2013,"25,002","Replaced rear license plate screws with zinc coated, painted",,,,$5.00,Mike
7/1/2013,"25,100",Washed,,,,$0.00,Mike
7/5/2013,"25,343",Summer Wheels balanced (Steering vibration at ~75mph),,,,$30.00,Discount Tire Boulder
7/18/2013,"25,640",Replaced clutch pressure plate & throwout bearing under warranty,,,,$0.00,Flatirons Subaru
8/1/2013,"26,050","Paintless dent repair passenger c pillar x2, drivers door, rear hatch",,,,$100.00,Dents By Hand Boulder
8/5/2013,"26,300",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$40.00,Mike
10/1/2013,"27,557","Paintless dent repair passenger hood x 6, driver front fender x 1",,,,-$328.75,Dents By Hand Boulder
10/5/2013,"27,600","Cleaned Interior, Driver seat / wheel / knob: (Wolfgang Clean / Maalco Cond)",,,,$0.00,Mike
10/12/2013,"27,636",Rotated Summer Wheels 2143,,1,,$0.00,Mike
10/26/2013,"27,850","Installed Subaru SPT exhaust, new donut gasket to midpipe, re-used axle gasket",,,,$315.00,"Mike, Josh, Brendan"
11/4/2013,"28,300",Replaced cracked lens on Right fog lamp (Subaru OEM),,,,$112.19,Mike
11/4/2013,"28,300","Replaced covers on fog lamps (Lamin-X clear 40mil 3.6"" diameter)",,,,$0.00,Mike
11/15/2013,"28,500",Mounted winter wheels 4312 ???? Date & Mileage estimated,,,,$0.00,Mike
11/23/2013,"28,600",Uninstalled and sold AccessPort,,,,-$450.00,Mike
12/22/2013,"29,574",Replaced cabin air filter (Subaru OEM),,,,$29.16,Mike
12/29/2013,"29,871",Replaced Engine Air Filter (Subaru OEM),,,,$23.75,Mike
12/29/2013,"29,871",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$44.10,Mike
1/19/2014,"30,441",Replaced & Flushed Brake Fluid (Subaru DOT3),,,,$19.84,Mike
1/19/2014,"30,441",Mounted Summer Wheels 2143,,,,$0.00,Mike
1/26/2014,"30,700",Mounted winter wheels 4312,,,,$0.00,Mike
2/15/2014,"30,852",Mounted Summer Wheels 2143,,,,$0.00,Mike
2/25/2014,"30,950",Replaced Trans & Diff Fluid,,,,$104.64,Flatirons Subaru
2/25/2014,"30,950",Replaced second missing passenger side wheel air deflector (Warranty),,,,$0.00,Flatirons Subaru
2/25/2014,"30,950","Front & Rear Alignment, Set to factory Specs (Warranty)",,,,$0.00,Flatirons Subaru
2/28/2014,"31,000",Mounted winter wheels 4312,,,,$0.00,Mike
3/1/2014,"31,012","Replaced power steering fluid, fluid was dark brown (Subaru ATF)",,,,$9.24,Mike
3/12/2014,"31,200",Mounted Summer Wheels 2143,,,,$0.00,Mike
-,-,Fixed drivers rear RallyArmor flap & bumper cover after a back-over. Replaced rear washers with smaller ones.,,,,$3.00,Mike
4/16/2014,"32,609",Fixed nail in summer tire,,,,$0.00,"Discount Tire, Boulder"
4/19/2014,"32,700",Washed and Waxed (Meguiars Crystal Carnuba),,,1,$0.00,Mike
4/19/2014,"32,700",Fixed exhaust shield rattle (passenger side gas tank skid cover mount point),,,,$0.00,Mike
5/2/2014,-,2014 Registration,,,,$359.15,Boulder DOR
5/18/2014,"33,718",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$89.18,Mike
5/20/2014,"33,730",Replaced summer tires with lightly used Dunlop Sport SP-01,,,,$92.16,Discount Tire
7/20/2014,"36,396","Washed, Polished all, Waxed (Meguiars Ultimate Polish, Meguiars Ultimate Wax)",,,1,$0.00,Mike
7/25/2014,"36,400",Tinted windows with Llumar ATC 35%,,,,$303.00,Clear Choice
8/16/2014,"37,241",Rotated summer tires (3421),,1,,$0.00,Mike
8/18/2014,"37,350",Oil & Filter Change (Subaru Synthetic 5W30 Subaru Filter),1,,,$26.55,Mike
9/7/2014,"37,807",Coolant Level Topped Off (Subaru Super Blue),,,,$31.75,Mike
9/7/2014,"37,807",Replaced Engine Air Filter (Subaru OEM),,,,$28.54,Mike
9/7/2014,"37,807",Installed Red Vinyl Taillight overlays (Premium Auto Styling),,,,$34.98,Mike
9/13/2014,"37,935","Installed KONI Yellow Sport Strut inserts, front and rear (8610-1453SPORT 8010-1055SPORT)",,,,$578.90,Mike & Brendan
9/27/2014,"38,499",Rotated summer tires (1234),,1,,$0.00,Mike
10/17/2014,"39,200",Swapped back to OEM exhaust,,,,$0.00,Mike
10/17/2014,"39,200",Installed shock strut dust seals x 2,,,,$7.03,Mike
10/17/2014,"39,200",Installed Push rivet x 4,,,,$7.36,Mike
10/21/2014,"39,300",Replaced driver's rear door corner trim piece,,,,$9.69,Mike
10/21/2014,"39,300",Replaced rear-view mounting hardware (HS501SSA041),,,,$12.46,Mike
-,"41,000",Installed winter wheels,,1,,$0.00,Mike
2/19/2015,"41,832",Replaced Lamin-X Fog Light Covers,,,,$0.00,Mike
3/7/2015,"42,180",Swapped back to summer wheels,,,,$0.00,Mike
3/7/2015,"42,180",Installed Speed Bleeders SB1010 & Bled brakes,,,,$48.56,Mike
3/7/2015,"42,180",Replaced battery (Optima RedTop 35),,,,$205.00,Mike
3/22/2015,"42,730",Rotated summer tires (4312),,1,,$0.00,Mike
3/22/2015,"42,730",Checked brake pads (7.5mm 7.6mm 4.7mm 4.5mm),,,,$0.00,Mike
3/28/2015,"42,846",Installed Cobb STS & Kartboy & Rear shifter bushings,,,,$203.21,Mike
4/15/2015,-,2015 Registration,,,,$256.86,Boulder DOR
4/22/2015,-,Flashed to Cobb OTS Stage 1 91,,,,$325.00,Mike
4/25/2015,"43,880",Fixed squeaks on headlight to fender brackets,,,,$0.00,Mike
4/25/2015,"43,880","Lubricated front & rear sway bar bushings, Rotated left rear strut, greased knuckle, strut & sway bolts on rear lower links.",,,,$0.00,Mike
4/25/2015,"43,880",Replaced 2 lug studs on front right & all rear lug nuts & applied anti-seize to threads.,,,,X,Mike
5/2/2015,"44,000",Lubricated clutch pivot points.,,,,$0.00,Mike
5/2/2015,"44,000",Installed Cobb OTS Stage 1 91 HWG tune.,,,,$0.00,Mike
